"ITTER107","Territorio","TIPO_DATO15","Tipo indicatore","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2002","2002",8.5,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2003","2003",8.6,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2004","2004",8.8,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2005","2005",8.7,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2006","2006",8.8,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2007","2007",8.9,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2008","2008",9,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2009","2009",8.9,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2010","2010",8.7,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2011","2011",8.6,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2012","2012",8.4,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2013","2013",8.1,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2014","2014",7.9,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2015","2015",7.5,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2016","2016",7.2,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2017","2017",7.1,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2018","2018",6.7,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2019","2019",6.5,,
"ITC1","Piemonte","BIRTHRATE","tasso di natalità (per mille abitanti)","2020","2020",6.3,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2002","2002",11.4,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2003","2003",11.9,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2004","2004",10.8,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2005","2005",11.2,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2006","2006",11,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2007","2007",11,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2008","2008",11.3,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2009","2009",11.3,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2010","2010",11.1,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2011","2011",11.1,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2012","2012",11.4,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2013","2013",11.3,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2014","2014",11.2,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2015","2015",12.3,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2016","2016",11.6,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2017","2017",12.3,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2018","2018",12.4,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2019","2019",12.3,,
"ITC1","Piemonte","DEATHRATE","tasso di mortalità (per mille abitanti)","2020","2020",15.3,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2002","2002",4.3,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2003","2003",4,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2004","2004",3.8,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2005","2005",3.8,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2006","2006",3.8,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2007","2007",3.8,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2008","2008",3.7,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2009","2009",3.5,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2010","2010",3.2,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2011","2011",3.1,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2012","2012",3.1,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2013","2013",2.8,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2014","2014",2.8,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2015","2015",3,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2016","2016",3.1,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2017","2017",2.9,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2018","2018",3,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2019","2019",2.8,,
"ITC1","Piemonte","MARRATE","tasso di nuzialità (per mille abitanti)","2020","2020",1.7,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2002","2002",0.6,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2003","2003",0.3,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2004","2004",0.3,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2005","2005",0,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2006","2006",0.1,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2007","2007",0.5,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2008","2008",0.7,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2009","2009",0.3,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2010","2010",0.6,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2011","2011",0.6,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2012","2012",0.7,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2013","2013",-0.1,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2014","2014",0.2,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2015","2015",0.4,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2016","2016",0.2,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2017","2017",0.4,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2018","2018",0.2,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2019","2019",1.3,,
"ITC1","Piemonte","NMIGRATEIN","saldo migratorio interno (per mille abitanti)","2020","2020",1,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2002","2002",4.6,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2003","2003",12.2,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2004","2004",7.3,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2005","2005",5.3,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2006","2006",4.4,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2007","2007",13.6,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2008","2008",8.6,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2009","2009",5,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2010","2010",3.9,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2011","2011",3.3,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2012","2012",4.4,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2013","2013",2.2,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2014","2014",-0.7,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2015","2015",0.1,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2016","2016",1.1,,
"ITC1","Piemonte","NMIGRATEAB","saldo migratorio con l'estero (per mille abitanti)","2017","2017",0.1,,
